name;maxspeed
Corso Alcide De Gasperi;50
Corso Belgio(TO);50
Corso Benedetto Croce;30
Corso Benedetto Croce;30
Corso Bramante;50
Corso Bramante;50
Corso Bramante;50
Corso Bramante;50
Corso Cadore;50
Corso Cairoli;50
Corso Cairoli;30
Corso canonico Giuseppe Allamano;30
Corso canonico Giuseppe Allamano;50
Corso canonico Giuseppe Allamano;50
Corso canonico Giuseppe Allamano;50
Corso canonico Giuseppe Allamano;50
Corso canonico Giuseppe Allamano;50
Corso canonico Giuseppe Allamano;50
Corso Carlo Luigi Farini;50
Corso Carlo Luigi Farini;50
Corso Casale;50
Corso Casale;30
Corso Casale;30
Corso Casale;50
Corso Casale;30
Corso Cesare Correnti;50
Corso Corsica;50
Corso Corsica;50
Corso Corsica;50
Corso Corsica;50
Corso Corsica;50
Corso Corsica;50
Corso Corsica;50
Corso Corsica;50
Corso Corsica;50
Corso Cosenza(TO);30
Corso Cosenza(TO);30
Corso Dante Alighieri;30
Corso Dante Alighieri;50
Corso Dante Alighieri;50
Corso Duca degli Abruzzi;50
Corso Duca degli Abruzzi;50
Corso Duca degli Abruzzi;30
Corso Duca degli Abruzzi;50
Corso Duca degli Abruzzi;50
Corso Duca degli Abruzzi;30
Corso Duca degli Abruzzi;50
Corso Enrico De Nicola;50
Corso Enrico Tazzoli;50
Corso Enrico Tazzoli;30
Corso Giambone(TO);50
Corso Giambone(TO);50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;40
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;50
Corso Filippo Brunelleschi;40
Corso Fiume;50
Corso Fiume;50
Corso Fiume;50
Corso Fiume;50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Francia(TO);50
Corso Gaetano Salvemini;50
Corso Gaetano Salvemini;50
Corso Gaetano Salvemini;50
Corso Gaetano Salvemini;50
Corso Gaetano Salvemini;50
Corso Gaetano Salvemini;50
Corso Gaetano Salvemini;50
Corso Gaetano Salvemini;50
Corso Galileo Ferraris(TO);40
Corso Galileo Ferraris(TO);40
Corso Galileo Ferraris(TO);40
Corso Galileo Ferraris(TO);40
Corso Galileo Ferraris(TO);40
Corso Galileo Ferraris(TO);40
Corso Giambone(TO);50
Corso Giovanni Agnelli;50
Corso Giovanni Agnelli;50
Corso Giovanni Agnelli;30
Corso Giovanni Agnelli;50
Corso Giovanni Agnelli;50
Corso Giovanni Agnelli;30
Corso Giovanni Agnelli;50
Corso Giovanni Agnelli;50
Corso Giovanni Agnelli;50
Corso Giovanni Agnelli;30
Corso Giovanni Agnelli;50
Corso Giulio Cesare(TO);30
Corso Giulio Cesare(TO);30
Corso Giulio Cesare(TO);30
Corso Giulio Cesare(TO);30
Corso Giuseppe Siccardi;50
Corso Giuseppe Siccardi;50
Corso Giuseppe Siccardi;50
Corso Giuseppe Siccardi;50
Corso Giuseppe Siccardi;50
Corso Lepanto;50
Corso Lepanto;50
Corso Lione;20
Corso Lione;50
Corso Lione;20
Corso Einaudi(TO);50
Corso Einaudi(TO);50
Corso Einaudi(TO);50
Corso Luigi Kossuth;30
Corso Luigi Kossuth;30
Corso Mediterraneo;20
Corso Mediterraneo;50
Corso Mediterraneo;20
Corso Mediterraneo;50
Corso Mediterraneo;50
Corso Mediterraneo;20
Corso Novara(TO);50
Corso Orbassano(TO);50
Corso Orbassano(TO);50
Corso Orbassano(TO);50
Corso Orbassano(TO);50
Corso Orbassano(TO);50
Corso Orbassano(TO);50
Corso Orbassano(TO);50
Corso Orbassano(TO);50
Corso Palestro;50
Corso Palestro;50
Corso Palestro;50
Corso Palestro;50
Corso Palestro;50
Corso Peschiera(TO);50
Corso Peschiera(TO);50
Corso Potenza(TO);30
Corso Potenza(TO);30
Corso Principe Eugenio;50
Corso Principe Eugenio;50
Corso Principe Oddone;20
Corso Principe Oddone;20
Corso Principe Oddone;20
Corso Principe Oddone;20
Corso Principe Oddone;20
Corso IV Novembre(TO);50
Corso IV Novembre(TO);50
Corso IV Novembre(TO);50
Corso IV Novembre(TO);50
Corso Quintino Sella;30
Corso Re Umberto;50
Corso Re Umberto;50
Corso Re Umberto;30
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso Regina Margherita(TO);50
Corso San Maurizio(TO);50
Corso San Maurizio(TO);50
Corso Sebastopoli(TO);50
Corso Sebastopoli(TO);50
Corso Sebastopoli(TO);50
Corso Sebastopoli(TO);50
Corso Sebastopoli(TO);50
Corso Sicilia;30
Corso Sicilia;30
Corso Sicilia;30
Corso Sicilia;30
Corso Siracusa(TO);40
Corso Siracusa(TO);40
Corso Siracusa(TO);40
Corso Siracusa(TO);40
Corso Siracusa(TO);40
Corso Siracusa(TO);40
Corso Siracusa(TO);40
Corso Stati Uniti;30
Corso Stati Uniti;50
Corso Stati Uniti;50
Corso Stati Uniti;50
Corso Stati Uniti;50
Corso Traiano;50
Corso Traiano;50
Corso Trapani(TO);40
Corso Trapani(TO);40
Corso Trapani(TO);40
Corso Trapani(TO);40
Corso Trapani(TO);40
Corso Trapani(TO);40
Corso Trapani(TO);40
Corso Trattati di Roma;50
Corso Trattati di Roma;50
Corso Trattati di Roma;50
Corso Valdocco;50
Corso Valdocco;50
Corso Valdocco;50
Corso Valdocco;50
Corso Valdocco;50
Corso Vigevano;30
Corso Vigevano;30
Corso Vittorio Emanuele II(TO);50
Corso Vittorio Emanuele II(TO);50
Largo Filippo Turati;30
Largo Giovanni Boccaccio;30
Largo Luca Della Robbia;50
Largo Luca Della Robbia;30
Largo Maurizio Vitale;50
Largo Moncalvo;50
Largo Moncalvo;50
Largo Odoardo Tabacchi;30
Largo Odoardo Tabacchi;30
Largo Odoardo Tabacchi;30
Largo Odoardo Tabacchi;30
Largo Orbassano;50
Largo Racconigi;30
Largo Racconigi;30
Largo Re Umberto;30
Lungo Dora Pietro Colletta;30
Lungo Dora Pietro Colletta;50
Lungo Dora Voghera;40
Lungo Po Alessandro Antonelli;40
Lungo Po Alessandro Antonelli;30
Lungo Po Alessandro Antonelli;50
name;maxspeed
Piazza Arturo Graf;50
Piazza Arturo Graf;50
Piazza Basilicata;30
Piazza Bruno Caccia;30
Piazza Bruno Caccia;30
Piazza Camillo Benso Conte di Cavour;30
Piazza Carlo Felice;50
Piazza Carlo Felice;50
Piazza Carlo Felice;50
Piazza Carlo Felice;50
Piazza Carlo Felice;50
Piazza Carlo Felice;50
Piazza Carlo Montanari;50
Piazza CLN;30
Piazza Crimea;30
Piazza Crimea;30
Piazza della Repubblica;30
Piazza della Repubblica;30
Piazza della Repubblica;30
Piazza della Repubblica;30
Piazza Desiderato Chiaves;50
Piazza Emanuele Filiberto;30
Piazza Francesco Carrara;30
Piazza Galimberti;50
Piazza Gran Madre di Dio;50
Piazza Guido Cavalcanti;30
Piazza Marmolada;50
Piazza Marmolada;50
Piazza Marmolada;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;30
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Massaua;50
Piazza Omero;50
Piazza Omero;50
Piazza Ottorino Respighi;30
Piazza Pietro Francesco Guala;50
Piazza Pitagora;50
Piazza Riccardo Cattaneo;50
Piazza Riccardo Cattaneo;50
Piazza Santa Giulia;30
Piazza Santa Giulia;30
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;30
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Santa Rita da Cascia;50
Piazza Tancredi Galimberti;50
Piazza Tancredi Galimberti;50
Piazza Tommaso Campanella;50
Piazza Vittorio Veneto;50
Piazza Vittorio Veneto;50
Piazza Vittorio Veneto;50
Piazzale Costantino Il Grande;30
Piazzale San Gabriele di Gorizia;50
Piazzetta della Chiesa;30
Piazzetta Giorgio Perlasca;50
Piazzetta Giorgio Perlasca;50
Strada Antica di Collegno;30
Strada Basse del Lingotto;20
Strada Castello di Mirafiori;50
Strada Castello di Mirafiori;30
Strada comunale del Cartman;30
Strada comunale del Cimitero di Sassi;30
Strada del Carossio;50
Strada del Lauro;30
Strada del Lauro;30
Strada del Lauro;30
Strada del Lauro;30
Strada del Lauro;30
Strada dell'Arrivore;50
Strada della Campagna;30
Strada della Lauretta;30
Strada della Lauretta;30
Strada della Pronda;50
Strada della Pronda;20
Strada della Pronda;20
Strada della Pronda;30
Strada della Pronda;50
Strada della Venaria;30
Strada delle Cacce;50
